Community,ChimpID,Sex,FAI,Duration_Hrs,Number_Recieved,Number_Produced,To_remove,Age
waibira,NOR,f,3.15811763,6.966666667,23,1,n,20
waibira,LIR,f,2.052513448,0.166666667,0,0,n,35
waibira,NOR,f,3.15811763,1.783333333,3,0,n,20
waibira,BAH,f,3.15811763,0.166666667,0,0,n,22
waibira,MON,f,3.15811763,5.7,1,0,n,13
waibira,KET,f,3.15811763,3.25,0,0,n,18
waibira,MON,f,3.15811763,5.233333333,8,0,n,13
waibira,JIN,f,3.15811763,1.416666667,1,1,n,28
waibira,KID,f,3.15811763,1.25,3,0,n,38
waibira,PEN,f,3.15811763,9.5,14,0,n,29
waibira,AKK,f,3.15811763,4.766666667,27,1,n,28
waibira,MON,f,3.15811763,1.25,10,2,n,13
waibira,KID,f,3.15811763,0.816666667,4,1,n,38
waibira,TIB,f,3.15811763,0.433333333,0,0,n,18
waibira,KID,f,3.15811763,1.25,0,1,n,38
waibira,ARU,f,3.15811763,3.783333333,0,0,n,35
waibira,AKK,f,3.15811763,7.1,42,1,n,28
waibira,MON,f,3.15811763,2.35,17,1,n,13
waibira,JIN,f,3.15811763,3.333333333,23,2,n,28
waibira,MON,f,2.052513448,1.816666667,21,0,n,13
waibira,TAT,f,2.052513448,2.016666667,24,2,n,17
waibira,JIN,f,2.052513448,0.383333333,9,3,n,28
waibira,KET,f,2.052513448,0.1,1,1,n,18
waibira,BAH,f,2.052513448,0.916666667,2,0,n,22
waibira,KID,f,2.052513448,3.466666667,9,0,n,38
waibira,NOR,f,2.052513448,0.266666667,6,0,n,20
waibira,JIN,f,2.052513448,0.366666667,4,0,n,28
waibira,NEV,f,2.052513448,0.366666667,0,0,n,32
waibira,TAT,f,2.052513448,5.766666667,30,12,n,17
waibira,JIN,f,2.052513448,2.216666667,11,3,n,28
waibira,RIT,f,2.052513448,0.15,0,0,n,36
waibira,AKK,f,2.052513448,8.983333333,5,1,n,28
waibira,BAH,f,2.052513448,0.366666667,0,0,n,22
waibira,SHY,f,2.052513448,3.85,2,1,n,23
waibira,KIP,f,2.052513448,2.383333333,16,0,n,19
waibira,TAT,f,0.741750161,0.316666667,0,0,n,17
waibira,BAH,f,0.741750161,1.516666667,0,0,n,22
waibira,NOR,f,0.741750161,1.716666667,5,1,n,20
waibira,RIT,f,0.741750161,0.9,1,0,n,36
waibira,TAT,f,0.741750161,1.483333333,0,0,n,17
waibira,BAH,f,0.741750161,3.883333333,5,2,n,22
waibira,NOR,f,0.741750161,1.116666667,0,0,n,20
waibira,LIR,f,0.741750161,5.016666667,14,2,n,35
waibira,LOT,f,0.741750161,1.666666667,0,0,n,32
waibira,ONY,f,0.741750161,1.133333333,4,1,n,17
waibira,TAT,f,0.741750161,0.266666667,0,0,n,17
waibira,AKK,f,0.741750161,3.05,14,10,n,28
waibira,ONY,f,0.741750161,1.233333333,2,0,n,17
waibira,TAT,f,0.741750161,2.116666667,16,4,n,17
waibira,ONY,f,0.741750161,0.883333333,0,0,n,17
waibira,LIR,f,0.741750161,2.166666667,4,0,n,35
waibira,SHY,f,0.741750161,1.916666667,3,1,n,23
waibira,LOT,f,0.741750161,4.5,25,2,n,32
waibira,JIN,f,0.741750161,0.1,0,0,n,28
waibira,KID,f,1.560105521,0.533333333,5,2,n,38
waibira,JIN,f,1.560105521,0.866666667,1,0,n,28
waibira,KET,f,1.560105521,3.833333333,10,1,n,18
waibira,PEN,f,1.560105521,5.583333333,19,4,n,29
waibira,JIN,f,1.560105521,0.6,0,0,n,28
waibira,KID,f,1.560105521,7.05,6,0,n,38
waibira,PEN,f,1.560105521,3.916666667,1,2,n,29
waibira,JIN,f,1.560105521,2.566666667,8,0,n,28
waibira,ONY,f,1.560105521,0.366666667,0,0,n,17
waibira,BAH,f,1.560105521,4.15,6,0,n,22
waibira,ONY,f,1.560105521,3.266666667,3,1,n,17
waibira,ONY,f,1.560105521,4.133333333,3,1,n,17
waibira,BAH,f,1.560105521,2.416666667,0,0,n,22
waibira,LOT,f,1.560105521,3.166666667,7,5,n,32
waibira,PEN,f,1.560105521,2.283333333,21,6,n,29
waibira,NEV,f,1.560105521,2.416666667,0,0,n,32
waibira,BAH,f,1.560105521,3,0,0,n,22
waibira,JIN,f,1.560105521,6.066666667,8,0,n,28
waibira,RIT,f,1.560105521,0.8,1,0,n,36
waibira,LIR,f,1.560105521,0.116666667,0,0,n,35
waibira,TAT,f,1.560105521,3.466666667,0,0,n,17
waibira,RAC,f,7.718410025,4.733333333,37,12,n,16
waibira,LIR,f,14.23377265,0.883333333,13,0,n,35
waibira,ARU,f,7.718410025,4.8,24,4,n,35
waibira,JIN,f,7.718410025,4.283333333,7,2,n,28
waibira,KIP,f,7.718410025,2.733333333,18,2,n,19
waibira,LOT,f,7.718410025,2.116666667,5,1,n,32
waibira,NEV,f,7.718410025,3.016666667,1,0,n,32
waibira,ONY,f,7.718410025,0.933333333,0,0,n,17
waibira,NOR,f,7.237334235,3.583333333,5,0,n,20
