ID,Sex
AKK,F
AIM,F
ARU,F
ASM,F
BAH,F
BAL,M
BRI,M
BYZ,F
BAR,M
BTK,F
CHP,F
CAE,F
CIS,F
DAD,F
DAV,M
DAI,F
DAR,M
DAW,F
EIL,F
HOB,F
HAR,M
IMP,F
ISO,F
JIN,F
JAK,M
KET,F
KYO,F
KLZ,M
KID,F
KAR,F
KIB,F
KIP,F
KIL,M
KEN,F
KZT,M
LIR,F
LAM,M
LOT,F
LIZ,F
LTS,F
MSD,F
MIK,M
MRA,F
MAT,F
MON,F
MUK,F
NEV,F
NOA,M
NIM,F
NGO,M
NOR,F
NAR,M
NAL,M
NMK,F
ONY,F
PEN,F
PAV,F
PLI,F
QEN,F
RAC,F
RIT,F
RWZ,M
SAN,F
SDK,M
SVA,F
SHY,F
SUL,F
SHO,M
SHU,F
SPN,F
TAT,F
TED,F
TIB,F
TBY,M
VET,F
VIC,M
VIR,F
VIN,M
VEL,Unk
ABO,M
AKL,M
ALF,M
AND,M
ARD,M
ATA,M
BEN,M
BRT,M
CAM,M
CHN,M
DAU,M
DOU,M
DUN,M
EGU,M
ELG,M
FID,M
GER,M
HAM,M
ILA,M
JNO,M
JRA,M
KAS,M
KEV,M
LAF,M
LAN,M
LIL,M
LKU,M
MAC,M
MAP,M
MAS,M
MER,M
MOR,M
MUG,M
NAT,M
PHI,M
ROB,M
SAM,M
SDT,M
TAL,M
TRS,M
URS,M
WAL,M
