Winner,Loser,Date
URS,TAT,13/07/2014
TAL,NOR,30/06/2015
MON,TAL,30/06/2015
TAL,GAY,01/07/2015
NOR,MON,02/07/2015
BEN,ALF,03/07/2015
BEN,KIP,04/07/2015
AKL,TAT,08/07/2015
AKL,BAH,10/07/2015
MAC,FID,20/07/2015
AKL,KID,27/07/2015
URS,DAU,03/08/2015
URS,MAC,03/08/2015
AKL,BAH,04/08/2015
AKL,BAH,04/08/2015
AKL,BAH,04/08/2015
AKL,BAH,04/08/2015
BEN,DOU,07/08/2015
KEV,FID,30/08/2015
BEN,BAH,01/09/2015
TRS,TAT,02/09/2015
AKL,SAM,14/09/2015
TAL,LOT,17/09/2015
TAL,JIN,17/09/2015
TAL,JIN,17/09/2015
TAL,JIN,17/09/2015
TAL,JIN,19/09/2015
TAL,JIN,19/09/2015
URS,MAC,01/10/2015
URS,LAF,13/10/2015
CHN,LAN,18/10/2015
BEN,ARD,30/10/2015
MAC,FID,09/12/2015
ATA,ILA,10/12/2015
ILA,SAN,10/12/2015
ATA,MAC,11/12/2015
BEN,MAC,11/12/2015
KEV,LAF,15/12/2015
MAP,LAF,15/12/2015
TRS,SAM,15/12/2015
AKL,MUG,16/12/2015
SAM,MAS,17/12/2015
TRS,MAS,17/12/2015
ATA,MAS,17/12/2015
MAC,NOR,18/12/2015
BEN,MAC,18/12/2015
BEN,MAP,21/12/2015
ALF,SAM,22/12/2015
BEN,GER,22/12/2015
ALF,BAH,22/12/2015
ALF,DAU,22/12/2015
TRS,CHP,27/12/2015
TRS,MAC,27/12/2015
TRS,JIN,27/12/2015
GER,TAT,08/01/2016
GER,MAS,08/01/2016
MAP,MUG,08/01/2016
MAP,BAH,08/01/2016
MAP,FID,08/01/2016
AKL,MAC,10/01/2016
CHN,JIN,23/01/2016
RIT,TAT,23/01/2016
ATA,NOR,27/01/2016
BEN,NOR,27/01/2016
ALF,FID,28/01/2016
TAL,ALF,04/02/2016
MAC,NEV,12/02/2016
GER,TAT,12/02/2016
DOU,NOR,15/02/2016
TRS,KID,22/02/2016
ATA,SAM,25/02/2016
BEN,SAM,25/02/2016
BEN,SAM,25/02/2016
TAL,SAM,25/02/2016
ATA,TAT,26/02/2016
URS,MAC,27/02/2016
AKL,MAC,27/02/2016
